"","Name","east","north","Tagessumme"
"1","Alstaette",360933,5777163,8.38
"2","Althubertushoehe",316109,5625234,11.3
"3","Aue",452135,5655597,14.42
"4","AugustdorfKA2",480054,5750159,9.74
"5","BadOeynhausenKA",487803,5785235,7.1
"6","BalveKA",421715,5688433,9.39
"7","Baumberg",387145,5758169,12.9
"8","BergneustadtWiedenest",408385,5654260,14.96
"9","BielefeldStadtwerke",468613,5765087,10.07
"10","Bildchen",290818,5623592,4.85
"11","Birgden",292490,5655375,9.3
"12","Blankenheim",331797,5588270,7.97
"13","BocholtMussumKA",330276,5743426,16.81
"14","Bockeroth",375890,5621039,5.4
"15","Boke",467820,5730627,4.59
"16","BonnLessenich",362264,5621122,3.03
"17","BorchenKA2",480269,5724952,3.87
"18","BorkenKA",350672,5746752,14.52
"19","BornheimEichenkamp",359958,5626819,5.38
"20","BornheimMertenerHeide",352827,5626579,2.58
"21","BottropVestische",357931,5712899,14
"22","BrakelKA2",513080,5729065,5.09
"23","BreckerfeldHBWengeberg",392950,5678541,11.16
"24","Brenzingen",401442,5636061,16.97
"25","BrilonWasserwerk",470923,5694033,10.48
"26","Bueren2",468857,5710473,5.46
"27","Buke",496968,5731656,5.96
"28","Cobbenrode",441014,5671944,10.91
"29","CoesfeldKA",371716,5755484,16.96
"30","DattelSchleuse",386324,5725501,15.41
"31","DelbrueckSteinhorst",467853,5740940,7.26
"32","DetmoldKA",490498,5755114,8.63
"33","Diestedde",442830,5731927,10.2
"34","DorstenKA",357863,5726569,12.93
"35","DrensteinfurtKA",412612,5740104,7.74
"36","Drolshagen",413282,5653045,13.53
"37","Effeln",455429,5708577,6.48
"38","Eicherscheid",308357,5606535,12.67
"39","EitorfN",388654,5626006,9.44
"40","Elspetal",435169,5667076,8.6
"41","EmmerichN",311908,5745595,18.44
"42","EngerDreyen",467008,5777623,7.26
"43","Erndtebrueck",447448,5649140,16.26
"44","Erwitte",454316,5717694,5.23
"45","EschmarMuellekoven",367395,5626842,4.99
"46","EspelkampWWK",475724,5804266,4.08
"47","EssenHespertalN",363806,5692564,19.74
"48","EssenKettwigLUA",354805,5692430,16.57
"49","EssenPoertingsiepenN",364159,5695745,13.7
"50","Esterbach",319335,5586375,11.71
"51","FeldromTB",495764,5741422,7.65
"52","FreckenhorstKA",427823,5752975,8.77
"53","Freilingen",338324,5587284,6.37
"54","Freudenberg",421589,5640224,12.99
"55","Frielingsdorf",389249,5656137,13.69
"56","Gerderath",305597,5664170,9.68
"57","Geseke",464688,5720774,4.63
"58","GrevenKA",402250,5774650,10.38
"59","GronauKA",364389,5787846,11.21
"60","GueterslohWWK2",457854,5750809,10.15
"61","Haenscheid",389170,5632736,12.59
"62","HagenEugenRichterTurm",392434,5689439,9.34
"63","HagenHolthausen",398729,5689603,11.3
"64","HagenMaeckingerBach",394329,5686749,8.72
"65","HalverHagebuecherhoeh",396075,5669290,12.13
"66","HamminkelnN",334510,5734572,11.7
"67","HammMattenbeckeKA",418714,5727329,14.29
"68","Hanfmuehle",383303,5619038,8.72
"69","HattingenAmStade",370930,5698362,13.47
"70","HausForst",332301,5638934,5.25
"71","HeekNienborgKA",369069,5778246,8.8
"72","HeidenKA",357065,5743179,16.2
"73","Herbram",494089,5724469,3.8
"74","HerfordN",478550,5775122,6.68
"75","HerscheidWellin",414175,5673962,11.19
"76","Herzfeld",438518,5723988,7.86
"77","HiddenhausenKA",490498,5755114,6.54
"78","HoerstelN",404217,5796317,8.89
"79","HoexterFH",525470,5735073,5.67
"80","Holzhausen",439074,5621159,11.9
"81","HomburgBroel",396208,5641244,15.82
"82","IserlohnHennenKA",407507,5700243,9.38
"83","IserlohnKesbern",410013,5688575,7.42
"84","IserlohnWermingsen",411541,5692095,8.5
"85","Kaldenkirchen",304632,5689917,19.22
"86","KalletalNiedermeien",497049,5768862,6.36
"87","Kalterherberg",301144,5600831,17.99
"88","KierspeKA",403185,5666588,11.55
"89","Kleinenberg",497992,5714733,6.58
"90","Kleve",309697,5744491,18.2
"91","Kornelimuenster",300166,5623361,5.75
"92","KranenburgN",291968,5740508,16.85
"93","Krefeld",333128,5689571,12.85
"94","KreuztalKLG",428932,5645583,13.91
"95","Laggenbeck",417061,5792973,7.67
"96","Lahnhof1N",446737,5638368,11.07
"97","LangenbergSender",369891,5691025,20.45
"98","Lascheid",390937,5623581,12.77
"99","Lattenberg",443460,5695564,8.85
"100","LegdenKA",368850,5768228,12.25
"101","Lehmbach",373303,5643979,10.66
"102","LengerichKA",420080,5780628,10.1
"103","Lichtenau",493160,5718082,5.24
"104","LichtenauBlankenrodeStUA",493546,5710073,7.8
"105","LuedenscheidLoesenbach",401797,5674825,9.79
"106","Luetzel",442872,5646469,14.01
"107","MendenWWLendringsen",418802,5695867,7.82
"108","MettingenKA",417221,5799980,6
"109","MettmannPaul",357062,5679589,0
"110","MuelheimBhAB1N",352378,5699028,12.72
"111","MuensterHKA",407392,5762726,9.52
"112","NachrodtWiblingwerdeLohagen",403217,5684585,7.43
"113","Nassesand",490607,5744257,10.43
"114","NeuenradeAffeln",419975,5681111,11.82
"115","NeunkirchenSeelscheid",383809,5631754,9.48
"116","NevigesL107",369842,5685990,19.45
"117","NiederdielfenKLG",435216,5634999,10.55
"118","Niederkrüchten",306131,5675856,15.9
"119","NieheimKA",506539,5741728,6.5
"120","OchsenkopfDeponie",433112,5689974,8.74
"121","Oestertalsperre",415937,5668394,14.5
"122","OstbevernKA",419785,5765370,12
"123","Osterath",336169,5682075,16.8
"124","PaderbornP4",484188,5729525,4.33
"125","Peckelsheim",509589,5715679,6.68
"126","PlettenbergRKB1N",421049,5675711,8.94
"127","PulheimGeyen",345069,5650509,6.81
"128","RaesfeldKA",347798,5735507,16.04
"129","Raffelsbrand",310427,5616849,10.74
"130","RekenBhfRUEB",365971,5741134,15.2
"131","RemscheidLennep",379980,5672055,12.67
"132","RhedaN",452441,5745736,9.37
"133","RhedeKA",340542,5744383,11.12
"134","RietbergKA",459178,5740362,8.07
"135","Roenkhausen_N",429734,5675280,10.14
"136","Roetgen",301422,5614650,10.29
"137","Rosbach",401536,5629670,12.24
"138","RoteFurth",382230,5659591,12.81
"139","Ruenderoth",390525,5649566,14.21
"140","Ruhne",427453,5707515,8.61
"141","Rurberg_N",314354,5610210,10.03
"142","Schapdetten",391354,5754564,9.37
"143","SchermbeckDaemmerwaldN",345817,5734297,15.4
"144","Schlich",316194,5630758,3.35
"145","Simmerath",308553,5611848,13.51
"146","SolingenWald",363900,5672061,9.65
"147","SprockhoevelSchevenerStrasse",378911,5688192,13.48
"148","StArnoldLys",390177,5786488,9.27
"149","SteinheimKA",506755,5747810,4.53
"150","Suedkirchen",400007,5729788,13.2
"151","Suelze",379600,5653756,12.07
"152","Uckendorf",364189,5632047,8.65
"153","Versmold",442351,5762584,8.27
"154","Vormwald",438920,5649494,14.51
"155","VredenKA",347375,5769350,8.97
"156","WarburgWelda",508064,5700289,7.02
"157","WarsteinSteinbruch",454830,5698256,8.56
"158","Wegberg",309426,5670198,10.67
"159","WenholthausenN",441277,5681719,13.78
"160","Wetter_Hof_Sackern",383852,5692912,15.9
"161","Willebadessen",502396,5719671,6.42
"162","WittenGedern1",385813,5696548,14.77
"163","WittenSchnee",390242,5698975,12.44
"164","WuppertalNaechstebreck",377780,5685739,12.99
"165","Zweifall",307271,5621261,10.15
