Name;Einzugsgebiet;übergeordnetes Einzugsgebiet;east;north
AachenSoers;Rur;Rur;295547;5632187
Aakgraben;Ahse;Lippe;442693;5714230
Aldenhoven;Rur;Rur;309474;5642683
Alstaette;Issel;Ijssel;360933;5777163
Althubertushoehe;Rur;Rur;316109;5625234
Aue;Eder;Weser;452135;5655597
AugustdorfKA2;Ems;Ems;480054;5750159
BadDriburgHersteKA;Aa;Weser;507304;5729317
BadHonnefBruengsberg;Sieg;Sieg;380178;5615064
BadOeynhausenKA;Werre;Weser;487803;5785235
BalveKA;Hönne;Ruhr;421715;5688433
Baumberg;Münsterische AA;Ems;387145;5758169
BergneustadtWiedenest;Agger;Sieg;408385;5654260
BielefeldStadtwerke;Aa;Weser;468613;5765087
Bildchen;Maas;Rur;290818;5623592
Birgden;Maas;Rur;292490;5655375
Blankenheim;Urft;Rur;331797;5588270
BocholtMussumKA;Bocholter Aa;Ijssel;330276;5743426
Bockeroth;Sieg;Sieg;375890;5621039
Boke;Lippe;Lippe;467820;5730627
BonnLessenich;Rhein;Rhein;362264;5621122
BorchenKA2;Alme;Lippe;480269;5724952
BorgholzhausenRUEB;Else;Weser;452656;5773103
BorkenKA;Bocholter Aa;Ijssel;350672;5746752
BornheimEichenkamp;Rhein;Rhein;359958;5626819
BornheimMertenerHeide;Rhein;Rhein;352827;5626579
BottropVestische;Emscher;Rhein;357931;5712899
BrakelKA2;Brucht;Weser;513080;5729065
BreckerfeldHBWengeberg;Volme;Ruhr;392950;5678541
Brenzingen;Broel;Sieg;401442;5636061
BrilonWasserwerk;Moehne;Ruhr;470923;5694033
Buederich;Ahse;Lippe;420616;5710624
Bueren2;Alme;Lippe;468857;5710473
Buke;Lippe;Lippe;496968;5731656
Cobbenrode;Wenne;Ruhr;441014;5671944
CoesfeldKA;Berkel;Ijssel;371716;5755484
DattelSchleuse;Lippe;Lippe;386324;5725501
DelbrueckSteinhorst;Ems;Ems;467853;5740940
DetmoldKA;Werre;Weser;490498;5755114
Diestedde;Lippe;Lippe;442830;5731927
DorstenKA;Lippe;Lippe;357863;5726569
DrensteinfurtKA;Werse;Ems;412612;5740104
Drolshagen;Lenne;Ruhr;413282;5653045
DuesseldorfLUA;Rhein;Rhein;342016;5673220
Effeln;Lippe;Lippe;455429;5708577
Eicherscheid;Rur;Rur;308357;5606535
EitorfN;Sieg;Sieg;388654;5626006
Elspetal;Lenne;Ruhr;435169;5667076
EmmerichN;Rhein;Rhein;311908;5745595
EngerDreyen;Werre;Weser;467008;5777623
Erkelenz1;Schwalm;Schwalm;311600;5663847
Erndtebrueck;Eder;Weser;447448;5649140
Erwitte;Lippe;Lippe;454316;5717694
EschmarMuellekoven;Sieg;Sieg;367395;5626842
Eschweiler_N;Rur;Rur;309293;5632865
EspelkampWWK;Große Aue;Weser;475724;5804266
EssenBRWLANUV;Ruhr;Ruhr;358577;5696758
EssenHespertalN;Ruhr;Ruhr;363806;5692564
EssenKettwigLUA;Ruhr;Ruhr;354805;5692430
EssenPoertingsiepenN;Hesperbach;Ruhr;364159;5695745
Esterbach;Kyll;Rhein;319335;5586375
FeldromTB;Heubach;Weser;495764;5741422
FreckenhorstKA;Ems;Ems;427823;5752975
Freilingen;Ahr;Rhein;338324;5587284
Frelenberg;Rur;Rur;296539;5648047
Freudenberg;Sieg;Sieg;421589;5640224
Frielingsdorf;Agger;Sieg;389249;5656137
Gerderath;Rur;Rur;305597;5664170
Geseke;Lippe;Lippe;464688;5720774
GrevenKA;Ems;Ems;402250;5774650
